Title,Year,Genre,Rating,Certificate,Directors,Cast,Description,Runtime
Gosford Park (2001) ,2001,"Comedy, Drama, Mystery",7.2,U,['Robert Altman'],"['Maggie Smith', 'Michael Gambon', 'Kristin Scott Thomas', 'Camilla Rutherford', 'Charles Dance', 'Geraldine Somerville', 'Tom Hollander', 'Natasha Wightman', 'Jeremy Northam', 'Bob Balaban', 'James Wilby', 'Claudie Blakley', 'Laurence Fox', 'Trent Ford', 'Ryan Phillippe', 'Stephen Fry', 'Ron Webster', 'Kelly Macdonald', 'Clive Owen', 'Helen Mirren', 'Eileen Atkins', 'Emily Watson', 'Alan Bates', 'Derek Jacobi', 'Richard E. Grant', 'Jeremy Swift', 'Sophie Thompson', 'Meg Wynn Owen', 'Adrian Scarborough', 'Frances Low', 'Joanna Maude', 'Teresa Churcher', 'Sarah Flind', 'Finty Williams', 'Emma Buckley', 'Lucy Cohu', 'Laura Harling', 'Tilly Gerrard-Bannister', 'Will Beer', 'Leo Bill', 'Gregor Henderson-Begg', 'John Atterbury', 'Frank Thornton', 'Ron Puttock', 'Adrian Preater', 'John Cox', 'Ken Davies', 'Tony Davies', 'Steve Markham', 'Terry Sturmey', 'Julian Such', 'Alan Bland', 'Peter Champion', 'Geoff Double', 'Robin Devereux', 'John Fountain', 'Richard Gamble', 'Brian Rumsey', 'George Sherman', 'Widget', 'Natalie Danks-Smith']","Gosford Park: Directed by Robert Altman. With Maggie Smith, Michael Gambon, Kristin Scott Thomas, Camilla Rutherford. Set in the 1930s, a group of pretentious rich and famous get together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.",137
Rave Macbeth (2001) ,2001,"Crime, Thriller, Drama",4.7,,['Klaus Knoesel'],"['Michael Rosenbaum', 'Nicki Aycox', 'Kirk Baltz', 'Jamie Elman', 'Marguerite Moreau', 'Mona Davis', 'Phil Fuldner', 'Jeanette Hain', 'Yvonne Laurich', 'Ines Lutz', 'Iver B. Morrison', 'Tom Novy', 'Sandor Oehlschlager', 'Patrick Pinheiro', 'Matthias Schullan', 'Anna Thalbach', 'DJ Tomkraft', 'Jeffrey Vanderbyl', 'Annette von Klier', 'Jim Yee']","Rave Macbeth: Directed by Klaus Knoesel. With Michael Rosenbaum, Nicki Aycox, Kirk Baltz, Jamie Elman. This movie is a loose adaptation of the Shakespeare play ""MacBeth"", except it's set in the world of the dance rave culture.",
The Next Big Thing (2001) ,2001,"Comedy, Romance, Drama",5.8,R,['P.J. Posner'],"['Chris Eigeman', 'Jamie Harris', 'Connie Britton', 'Janet Zarish', 'Mike Starr', 'Farley Granger', 'Marin Hinkle', 'Peter Giles', 'Dechen Thurman', 'John Seitz', 'Ileen Getz', 'Edward James Hyland', 'Gerta Grunen', 'Samia Shoaib', 'Doug Stone', 'Joel Posner', 'Summer Mahoney', 'Rasha Mella', 'Martin Moran', 'Tibor Feldman', 'Catherine Curtin', 'Johann Carlo', 'Andrew Fierberg', 'Robert J. Epstein', 'George A. Williams Jr.', 'Katalin Pota', 'Delora Whitney', 'Andrew Palermo', 'Abiola Abrams', 'Kiara Hunter', 'Perry Wolberg', 'Daniel Dresner', 'Rohan Quine', 'Chelsea Lagos', 'Alice Liu', 'Eric Riley', 'Mitch Greene', 'Christine Rogers', 'Tony Rossi', 'Shelley Kirk', 'Anthony Katagas', 'John DeNatale', 'Jill Johnson', 'Richard Galella', 'Yves Rene', 'Greg Orvis', 'Kimberly K. Merritt', 'Richard L. Smith', 'Mitchell Green', 'Jessica Heilig Montanez Prince', 'Trish McGettrick', 'P.J. Posner']","The Next Big Thing: Directed by P.J. Posner. With Chris Eigeman, Jamie Harris, Connie Britton, Janet Zarish. A painter who finds success (and true love) after a pickpocket steals one of his works, gives it a false authorship and promotes the imaginary artist to instant success so he can cash in on his ill-gotten gains.",87
Liars Club (2001) ,2001,"Comedy, Romance",6.7,R,['Bruce Cacho-Negrete'],"['Amy Jo Johnson', 'Elisa Donovan', 'Johnny Clark', 'Stephanie Vogt', 'Pete Barbutti', 'Bob Marley', 'Jason Shaw', 'John A. McDermott', 'Mark Antani', 'Maggie Carney', 'Johnny Clarke', 'Mary Kay Cook', 'Ethan James Duff', 'Ilyssa Fradin', 'Meghan Maureen McDonough', 'Kristy Nolen', ""Colleen O'Neill""]","Liars Club: Directed by Bruce Cacho-Negrete. With Amy Jo Johnson, Elisa Donovan, Johnny Clark, Stephanie Vogt. A man pines for a woman for years, but is afraid to tell her, finally enlisting the help of his friends to win her love.",99
The Breathing Show (2001) ,2001,,6.3,,['Steve Statler'],"['Mouncey Ferguson', 'Ryan Hayes', 'Audra Wolfmann', 'Paul Mendoza', 'Elise Robertson', 'Shirley Bennett', 'Dawn Nott', ""Chuck O'Grady"", 'Joel Rentner', 'William Van Noland', 'Lee Vogt', 'Brian Vouglas']","The Breathing Show: Directed by Steve Statler. With Mouncey Ferguson, Ryan Hayes, Audra Wolfmann, Paul Mendoza.",
Going Back (2001) ,2001,"Action, Drama, War",5.2,R,['Sidney J. Furie'],"['Casper Van Dien', 'Jaimz Woolvett', 'Bobby Hosea', 'Joseph Griffin', 'Kenny Johnson', 'Carré Otis', 'Daniel Kash', 'Martin Kove', 'Austin Farwell', 'Jason Blicker', 'Jim Morse', 'Deborah Zoe', 'Pablo Espinosa', 'Jason Cadieux', 'Lance Glass Green', 'Augusto Victa', 'Noel Trinidad', 'Catherine Cornell', 'Li Thi Dao', 'Mark Williams', 'Adnan Bhatty', 'Paul Coufos', 'David Mitchell', 'Jason Wenden', 'Paul Wenden', 'Charyl Chan', 'Val Victa', 'Jess Evardone', 'Patty Syquita', 'Ross Arayta', 'Marife Necesito', 'Ina Alegre', 'Emmanuel Corro', 'Macy Masucol', 'Len Alvero', 'Julie Phuong', 'Nguyen Allan', 'Curtis Petersen', 'Madeleine Nicolas', 'Jake De Asis', 'Michael Victa', 'Phung Xuan Xanh', 'Veronica Veron', 'Cathleen Oveson', 'Queenie Carpio', 'Veronica Trono', 'Robert Wassmer', 'Richard Cunanan', 'Larry Antenor', 'Benjamin Jr. Vasquez Barcellano', 'Carl Petersen', 'David Allen Phillips', 'Andrew Sharp', 'Susan Africa']","Going Back: Directed by Sidney J. Furie. With Casper Van Dien, Jaimz Woolvett, Bobby Hosea, Joseph Griffin. A group of Marines return to Vietnam with a news crew to relive their tragic war experiences.",113
P.O.V. (2001) ,2001,Drama,5.0,,['Tómas Gislason'],"['Trine Dyrholm', 'Gareth Williams', 'Ulrich Thomsen', 'Thomas Wilson Brown', 'Robert Robbin', 'John Mooney', 'Brian Hemmingsen', 'C. James Lewis', 'Richard Edson', 'Gary Schoyer', 'Peter Bech', 'Joyce Johnson', 'John Edwards', 'Adam Edwards', 'John Vvolk', 'Corey Chan', 'Gregory Moy', 'Christine Robbin', 'Jamie Kennedy']","P.O.V.: Directed by Tómas Gislason. With Trine Dyrholm, Gareth Williams, Ulrich Thomsen, Thomas Wilson Brown. English language film with Danish dogma stars Trine Dyrholm and Ulrich Thomsen.",
Monster's Ball (2001) ,2001,"Drama, Romance",7.1,UA 16+,['Marc Forster'],"['Billy Bob Thornton', 'Taylor Simpson', 'Gabrielle Witcher', 'Heath Ledger', 'Amber Rules', 'Peter Boyle', 'Charles Cowan Jr.', 'Taylor LaGrange', 'Yasiin Bey', 'Anthony Bean', 'Francine Segal', 'John McConnell', 'Marcus Lyle Brown', 'Milo Addica', 'Leah Loftin', 'Halle Berry', 'Coronji Calhoun', ""Sean 'Diddy' Combs"", 'Larry Lee', 'Troy Poret', 'Paul Smith', 'Marshall Cain', 'Will Rokos', 'Anthony Michael Frederick', 'John Wilmot', 'Dennis Clements', 'Stephanie Claire', 'James Haven', 'Ritchie Montgomery', 'Clara Hopkins Daniels', 'Carol Sutton', 'Bernard Johnson', 'Hulon E. Crayton II', 'Jeanette Kontomitras', 'Earl Maddox', 'Anthony Marble']","Monster's Ball: Directed by Marc Forster. With Billy Bob Thornton, Taylor Simpson, Gabrielle Witcher, Heath Ledger. After a family tragedy, a racist prison guard re-examines his attitudes while falling in love with the African-American wife of the last prisoner he executed.",111
The Search for John Gissing (2001) ,2001,Comedy,6.5,Not Rated,['Mike Binder'],"['Mike Binder', 'Tim Briggs', 'Allan Corduner', 'Janeane Garofalo', 'Frank Harper', 'Caroline Holdaway', 'James Lance', 'Lee Oakes', 'Angela Pleasence', 'Alan Rickman', 'Juliet Stevenson', 'Owen Teale', 'Nigel Terry', 'Sonya Walger', 'David Reid', 'Desi Valentine']","The Search for John Gissing: Directed by Mike Binder. With Mike Binder, Tim Briggs, Allan Corduner, Janeane Garofalo. Matthew Barnes is a young exec on the move up who finds himself a pawn in corporate in-fighting when he's sent to London to oversee a merger. He's to replace John Gissing; Gissing's gotten wind of it, and he makes sure that Matthew and his wife Linda, who has dutifully but reluctantly come to England, have a miserable first few days there. By the time Matthew figures out what's happening and declares a counter offensive, it may be too late to save himself from a transfer to Detroit. With Gissing still holding lots of cards and Linda more unhappy by the moment, Matthew must reevaluate. All out war? A partnership with Gissing? Some third way?",91
April Is My Religion (2001) ,2001,Drama,7.0,,['Bill Boll'],"['Benjamin Klein', 'Julie Stockhausen', 'Jason Contini', 'Troy Patrick Turnipseed', 'Michael Bowdern', 'Suzie Celantano', 'Robert Nolan Clark', 'John Contini', 'Saskia de Vries', 'Rosemary Garris', 'Dick George', 'Adam Hackbarth', 'Tiffany Hacker', 'Charles Heuvelman', 'Emily Horowitz', 'Mike Ketcher', 'Theresa Masters', 'Sandra K. Montgomery', 'Erica Neal', 'Marzban Patel', 'Stephen Potter', 'Sara Renschen', 'Dave Schuetz', 'Leo Walters']","April Is My Religion: Directed by Bill Boll. With Benjamin Klein, Julie Stockhausen, Jason Contini, Troy Patrick Turnipseed. ""April is my Religion"" is a coming-of-age story which chronicles four months in the life of Jack Wesson, a college freshman who believes himself to be devoid of free will. Coming from a sheltered suburban back- ground, he is plunged into a world of hallucinogenic drugs and casual sex with which he is utterly unprepared to cope. Increasingly disoriented, Jack becomes convinced he has found his life's love in April, the title character. When she rebuffs his advances, it only accelerates his downward spiral - culminating in a desperate act that forces him to confront his own flaws, errors, and ultimately his humanity.",
Dakota Bound (2001) ,2001,"Adventure, Sci-Fi, Action",3.4,,['Lloyd A. Simandl'],"['Fawnia Mondey', 'Esther Hanuka', 'John Comer', 'Eva Decastelo', 'Lenka Jelínková', 'Katerina Cermak', 'Olga Schmidtová', 'Elin Spidlová', ""David O'Kelly"", 'Daniela Krhutova', 'Andrea Fryk', 'Jaroslav Jirik', 'Karl Prater', 'Rianne Kooiman', 'Scott Williams', 'Curtis Mathew', 'Jan Kozel', 'Ales Dockal', 'Lucas Penz', 'Edita Maglena', 'Adriana Ruzicka', 'Lenka Jetensky', 'Vladimirá Kopalová', 'Zuzana Presova', 'Jennifer Stone']","Dakota Bound: Directed by Lloyd A. Simandl. With Fawnia Mondey, Esther Hanuka, John Comer, Eva Decastelo. In the not-so-distant future, a massive plague kills almost everyone on Earth, except for about 20 young women from a small private school.",
Ignition (2001) ,2001,"Action, Drama, Thriller",5.0,R,['Yves Simoneau'],"['Bill Pullman', 'Lena Olin', 'Colm Feore', 'Peter Kent', 'Barbara Eve Harris', 'Nicholas Lea', 'Hrothgar Mathews', 'Roger Dunn', 'Ben Immanuel', 'Lori Triolo', 'John Kapelos', 'Michael Ironside', 'Scott Hylands', 'Danielle Juilfs', 'Paul Magel', 'Patricia Drake', 'Paula Shaw', 'George Touliatos', 'Keith Martin Gordey', 'Jenn Griffin', 'Sean Campbell', 'Doug Abrahams', 'C. Ernst Harth', 'Gerald Paetz', 'Timothy Webber', 'Brian Markinson', 'Matthew Bennett', 'Bill Croft', 'Ty Olsson', 'Kwesi Ameyaw', 'Keith Provost', 'Dion Luther', 'Suzanne Olafson', 'Jason Low', 'Joanna Piros', 'Paul Carson', 'Phillip Mitchell', 'Simon Longmore', 'Kenneth W. Yanko', 'Michael Puttonen', 'Brian Leslie', 'D. Neil Mark', 'Mark Houghton', 'Robert Marshall']","Ignition: Directed by Yves Simoneau. With Bill Pullman, Lena Olin, Colm Feore, Peter Kent. A web of intrigue and conspiracy lies beneath the euphoria as the U.S. is about to put a man on the moon for the first time in over thirty years.",99
Reasonable Doubt (2001) ,2001,"Drama, Thriller",3.1,R,['Eric DelaBarre'],"['Amber Smith', 'Kevin Scott Allen', 'GiGi Erneta', 'Chris Flanders', 'Orien Richman', 'Robert Eaton', 'Elina Madison', 'John Henry Richardson', 'Daniel P. Cannon', 'Jack Rudy', 'Alexander Gramm', 'Charity Peters', 'Robyn Diskin', 'Madison Miller', 'Jacquie Perry', 'Brett Thrailkill', 'Gail Bailey Brownyard', 'Sherry Shaw', 'Sabrina Fortier', 'Jenine Smith', 'Silvana Smud', 'Simone King', 'Deborah Stambler', 'Jean Ann Gilliland', 'Fabienne de Bobille', 'Rob Young', 'Julian Ramiu', 'Tigran Aytayan', 'Marcel Rauda', 'A.J. Teshin', 'Brennan Marquez', 'Clark Trainor', 'Utaka Ito', 'Chriss Anglin', 'Kelly Taylor', 'James Ashley', 'Jasper Cole', 'James MacPherson']","Reasonable Doubt: Directed by Eric DelaBarre. With Amber Smith, Kevin Scott Allen, GiGi Erneta, Chris Flanders. A homicide detective investigating a series of sex murders in L.A receives help on the case from a well-known sex therapist with a dark secret.",91
Unseen Evil (2001) ,2001,"Horror, Sci-Fi, Thriller",3.3,R,['Jay Woelfel'],"['Richard Hatch', 'Tim Thomerson', 'Cindi Braun', 'Frank Ruotolo', 'Jere Jon', 'Cindy Pena', 'Robbie Rist', 'Benjamin Cline', 'Herve Estrada', 'Vincent Whipple', 'Daryl Berg', 'Mark Craig']","Unseen Evil: Directed by Jay Woelfel. With Richard Hatch, Tim Thomerson, Cindi Braun, Frank Ruotolo. A group of hikers led by a college professor are searching the woods for an ancient Indian burial mound. When they discover a likely site, three members of the group reveal themselves to be grave looters, and tie up the others so they can keep the valuable artefacts for themselves. In the course of ransacking the mound, one of them stumbles across a cursed crown that unleashes the mound's guardian: an invisible monster that begins attacking everyone it finds. Will anyone make it back to civilization alive?",93
Final Solution (2001) ,2001,"Action, Drama",7.4,R,['Cristobal Krusen'],"['John Kani', 'Jan Ellis', 'Vusi Kunene', 'David S. Lee', 'Liezel van der Merwe', 'Mpho Lovinga', 'Marcel van Heerden', 'Regardt van den Bergh', 'Marius Weyers', 'Bruce Marchiano', 'Gino Mingo', 'Lakita Garth', 'Chris April', 'Rob van Vuuren', 'Andrew Faure', 'Michael Aldous', 'Cecil Carter', 'Joanie Combrink', 'Alain de la Querra', 'Stephan Du Toit', 'Liz Ellenbogen', 'Sean Higgs', 'Langley Kirkwood', 'Evan J. Klisser', 'Pierre Malherbe', 'Thobeka Maqhulyana', 'Leonard Moss', 'Siyabulela Mrubata', 'Terry Norton', 'Andre Pelser', 'Nola Pelser', 'Robin Rattle', 'Mangaliso Maxwell Sauka', 'Louw Venter', 'Anthony Fridjhon']","Final Solution: Directed by Cristobal Krusen. With John Kani, Jan Ellis, Vusi Kunene, David S. Lee. The indoctrination of Gerrit Wolfaardt is complete: his family traditions, history, culture- even his church-have taught him that black South Africans are a cancer in the land. Under the eye of prominent members of the government and military, Gerrit develops a diabolical plan to rid South Africa of its ""black danger."" Before his plans can be carried out, he meets two people who will put him on a collision course with his future: Celeste, an open-minded University student, and Peter Lekota, a pastor who challenges Gerrit's prejudice. His ""final solution"" meets its greatest obstacle when Gerrit realizes he is wrong. The Persecutor becomes the Peacemaker and begins to seek reconciliation between whites and blacks. However, in the turbulent last days of apartheid, there are those who doubt his transformation. One such person is Moses Moremi, whom Gerrit had once violently attacked. In the end, it is Moses who must choose between peace and bloodshed.",102
The Wash (2001) ,2001,Comedy,4.8,R,['DJ Pooh'],"['Anthony Albano', 'Dr. Dre', 'Tic', 'Lamont Bentley', 'Bishop Don Magic Juan', 'Bruce Bruce', 'Thai Buckman', 'Frank Chavez', 'Tommy Chong', 'Angell Conwell', 'Mark Cooper', 'Joseph Davis', 'Tray Deee', 'Louis Deron-Davenport', 'DJ Pooh', 'Snoop Dogg', 'Shawn Fonteno', 'Julio R. Gonzales', 'Kevin Gulliam', 'Robert Hollis', 'Honest John', 'Isley Nicole Melton', 'Arif S. Kinchen', 'Kurupt', ""Iva La'Shawn"", 'Tom Lister Jr.', 'Ludacris', 'Kent King', 'Jerome Muhammad', 'Rashaan Nall', 'Demetrius Navarro', ""Shaquille O'Neal"", 'Pierre Edwards', 'Jeris Poindexter', 'Daryl Keith Roach', 'Pauly Shore', 'Alex Thomas', 'Derek Thompson', 'George Wallace', 'Shari Watson', 'Marcia Wright', 'Xzibit', 'Bad Azz', 'John Basinger', 'Daz Dillinger', 'Jennifer Dunn', 'Eminem', 'Roscoe', 'Lora Starkman', 'Jude S. Walko']","The Wash: Directed by DJ Pooh. With Anthony Albano, Dr. Dre, Tic, Lamont Bentley. Life at the car wash is a place in Los Angeles, California where anything can and does happen to two friends Sean & Dee Loc (Dr. Dre and Snoop Dogg) trying to earn money to pay their rent.",96
One Leg Kicking (2001) ,2001,"Comedy, Sport",4.3,,['Khoo Koh'],"['Mark Lee', 'Gurmit Singh', 'Moe Alkaff', 'Sharon Au', 'Richard Burrows', 'Siva Choy', 'Kumar', 'Hossan Leong', 'Robin Leong', 'Kay Tong Lim', 'Moses Lim', 'Jack Neo', 'Fiona Xie']","One Leg Kicking: Directed by Khoo Koh. With Mark Lee, Gurmit Singh, Moe Alkaff, Sharon Au. A group of underdogs form an amateur football team to play in a local league. The prize for the winners: a trip to the 2002 World Cup Finals. The team include a common man's hero who raises his two children single-handedly after his wife passes away, an ex-con with major anger management problems, a lounge singer struggling against his deadly nemesis - the karaoke machine, and a tender but tough tomboy. The story is built around the team struggle against the odds from no-hopers to title contenders. Through the game of football, the team learns not just sportsmanship, but life lessons that help them to mature as individuals, and ultimately, help each other to become better human beings.",
Black Knight (2001) ,2001,"Adventure, Comedy, Fantasy",4.9,PG-13,['Gil Junger'],"['Martin Lawrence', 'Marsha Thomason', 'Tom Wilkinson', 'Vincent Regan', 'Daryl Mitchell', 'Michael Countryman', 'Kevin Conway', 'Jeannette Weegar', 'Erik Jensen', 'Dikran Tulaine', 'Helen Carey', 'Michael Burgess', ""Isabell O'Connor"", 'Kevin Stillwell', 'Mikey Post', 'Tim Parati', 'Mark Joy', 'Joe Inscoe', 'Angel Desai', 'Elizabeth Roberts', 'Graham F. Smith', 'Mark Jeffrey Miller', 'Zach Hanner', 'Richard Fullerton', 'Jayce Tromsness', 'Greg Cooper', 'Mark Pitt', 'Miki Shelton', 'Tammy Arnold', 'Jason Chimonides', 'Bob Leddy Jr.', 'William Boyer', 'Denise S. Bass', 'Eric Paisley', 'Melissa Bolden', 'Harry D. Campbell', 'John Cronin', 'Marty Dew', 'Thunderbird Dinwiddie', 'Bonnie Dixon', 'Mark Evans', 'Kelly Foxworth', 'Linda K. Huffman', 'Krystal Jefferson', 'Chris Madray', 'Babs McCullen', 'Jaime Moffett', 'Dustin Phillips', 'Dena Rizzo', 'Monica Semon', 'Lara Anne Smith', 'Veronica Sterling', ""D'Juan Watts"", 'Daniella Alonso', 'J.C. Anderson', 'Charles E. Bailey', 'Cameron Beach', 'Rob Bouton', 'Lonnie Burchfield', 'Robert Cannon', 'Jeff Chase', 'Kelly Cole Childers', 'Jim Collins', 'Joseph Congema', 'Leslie Dilley', 'Kevin Dills', 'Kevin Dunlap', 'Sam Edens', 'Stephenie Galvan', 'Richard Haje', 'Stefan Hayek', 'Matthew Helms', 'Casey Kelvington', 'Kevin P. King', 'Kevin Lapsley', 'John Lewis', 'KJ Lodge', 'Joseph Long', 'Kyle Jason Louque', 'David Lowe', 'Vincent Lumia', 'Jeremy McLain', 'Janet Melody', 'Kevin Alan Moore', 'Ken Moran', 'Danny Nunn', 'Reid Perry', 'Matthew Richardson', 'David Rivitz', 'David Schifter', 'Kent Shelton', 'Jonathan Soronen', 'Stephanie Sullivan', 'Ryan Sweeney', 'Rock Taulbee', 'Abbey Wade', 'E. Parker Webb', 'Richard E. White']","Black Knight: Directed by Gil Junger. With Martin Lawrence, Marsha Thomason, Tom Wilkinson, Vincent Regan. Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After sustaining a blow to the head, he awakens to find himself in 14th century England.",95
Off Key (2001) ,2001,Comedy,5.2,,['Manuel Gómez Pereira'],"['Joe Mantegna', 'Danny Aiello', 'George Hamilton', 'Anna Galiena', 'Ariadna Gil', 'Claudia Gerini', 'Ashley Hamilton', 'Geoffrey Bateman', 'Tiffany Hofstetter', 'Vaughan Sivell', 'René Assa', 'Manuel de Blas', 'Javier Gurruchaga', 'Stéphane Hausauer', 'Jean-Philippe Dion', 'Romain Bechetoille', 'Beatriz Gómez de Osma', 'María Muñoz', 'Álvaro Ordóñez', 'Juan Irigoyen', 'Manfred Andrae', 'Lynn Reich', 'Juan Ignacio Durán', 'Sylvain Corthay', 'Jacques Herlin', 'Alito Rodgers', 'Javier Balaguer', 'Jorge Calvo', 'Francisco Javier Alonso', 'Janez Lotric', 'Gorka Moreno', 'Arnaud Vallens']","Off Key: Directed by Manuel Gómez Pereira. With Joe Mantegna, Danny Aiello, George Hamilton, Anna Galiena. A trio of opera singers are reunited by a wedding ten years after their stormy breakup.",
Horse Crazy (2001) ,2001,Family,5.8,G,['Eric Hendershot'],"['Michael Glauser', 'Brittany Armstrong', 'Jonathan Cronin', 'Scott Subiono', 'Dalin Christiansen', 'Arizona Taylor', 'Elizabeth Johnson', 'Marvin Payne', 'Craig Costello', 'Janet Bird', 'Kirk Smith', 'Kayla Armstrong', 'Hayley Hammond', 'Paul Robbins', 'Michael L. McDonough']","Horse Crazy: Directed by Eric Hendershot. With Michael Glauser, Brittany Armstrong, Jonathan Cronin, Scott Subiono. Three kids, who hope to capture their own wild mustang, outsmart a ring of horse thieves and return a prize stallion to its owner.",84
Gangland (2001) ,2001,"Action, Sci-Fi",2.8,R,['Art Camacho'],"['Costas Mandylor', 'Sasha Mitchell', 'Kathleen Kinmont', 'Vincent Klyn', 'Tim Thomerson', 'Ice-T', 'Coolio', 'Teri Austin', 'Joanna Bacalso', 'Jennifer Gareis', 'Kristanna Loken', 'David DeFalco', 'Michael Feichtner', 'Anastasia Sakelaris', 'Nils Allen Stewart', 'Mimi Lee', 'Victor Webster', 'Valerie D. Young', 'Isa Haller', 'Kevin Knotts', 'Sam J. Jones', ""Jeanette O'Connor"", 'Kylee Cochran', 'Mark Kriski', 'Matthew Hurley', 'Taylor Sutherland', 'Troy Aguayo', 'Tang Nguyen', 'Ralph Rieckermann', 'Michael R. Thayer']","Gangland: Directed by Art Camacho. With Costas Mandylor, Sasha Mitchell, Kathleen Kinmont, Vincent Klyn. In 2010 three heroes battle to survive in a city which is being controlled by an evil gang.",90
Extreme Honor (2001) ,2001,"Action, Drama",3.4,R,['Steven Rush'],"['Dan Andersen', 'Michael Ironside', 'Michael Madsen', 'Olivier Gruner', 'Odile Corso', 'James T. Callahan', 'Edward Albert', 'Martin Kove', 'Grand L. Bush', 'Scott Mosenson', 'Tyler Ostrander', 'Sarah Shahi', 'Antonio Fargas', 'Rick Overton', 'Sy Richardson', 'Deanna Lund', 'Charles Napier', 'Steve Saucedo', 'Victoria Gallegos', 'Philip Tan', 'Arnold Chon', 'Nathan Jung', 'Nichole McAuley', 'Tracy Dali', 'Sven-Ole Thorsen', 'Todd Champagne', 'Jerry Rector', 'Chad Brown', 'Don Sorapuru', 'Steven Rush', 'Delious', 'Erica Grant', 'Jack Kissell', 'Angel Tompkins', 'Adam Bartules', 'George', 'Colton James']","Extreme Honor: Directed by Steven Rush. With Dan Andersen, Michael Ironside, Michael Madsen, Olivier Gruner. A highly decorated Navy Seal is forced out of retirement in order to save his son's life and bring justice to the man who destroyed his career.",90
Frailty (2001) ,2001,"Crime, Drama, Thriller",7.2,R,['Bill Paxton'],"['Bill Paxton', 'Matthew McConaughey', 'Powers Boothe', ""Matt O'Leary"", 'Jeremy Sumpter', 'Luke Askew', 'Levi Kreis', 'Derk Cheetwood', 'Missy Crider', 'Alan Davidson', 'Cynthia Ettinger', 'Vincent Chase', 'Gwen McGee', 'Edmond Scott Ratliff', 'Rebecca Tilney', 'Blake King', 'Brad Berryhill', 'Greg Serano', 'Edgar L. Davis', 'Jim Flowers', 'Lance E. Nichols', 'John Paxton', 'Richard A. Bell', 'Chelsea Butler', 'Jennifer Drake', 'Betty Gurule', 'Ona Harris', 'Greg Bronson', 'Spencer Kayden', 'Dave Power']","Frailty: Directed by Bill Paxton. With Bill Paxton, Matthew McConaughey, Powers Boothe, Matt O'Leary. A mysterious man arrives at the offices of an FBI agent and recounts his childhood: how his religious fanatic father received visions telling him to destroy people who were in fact ""demons.""",100
Behind Enemy Lines (2001) ,2001,"Action, Drama, Thriller",6.4,UA,['John Moore'],"['Owen Wilson', 'Gene Hackman', 'Gabriel Macht', 'Charles Malik Whitfield', 'Joaquim de Almeida', 'David Keith', 'Olek Krupa', 'Vladimir Mashkov', 'Marko Igonda', 'Eyal Podell', 'Geoff Pierson', 'Aernout Van Lynden', 'Sam Jaeger', 'Shane Johnson', 'Don Winston', 'Elizabeth Perry', 'Igor Hajdarhodzic', 'Tarik Filipovic', 'Peter Palka', 'Todd Boyce', 'Kamil Kollarik', 'Salaetin Bilal', 'Laurence Mason', 'Leon Russom', 'Goran Grgic', 'Ivan Urbánek', 'Ismet Bagtasevic', 'Dragan Marinkovic', 'Kamil Mikulcík', 'Vedrana Bozinovic', 'Vladimir Oktavec', 'Dorothy Lucey', 'Greg Goossen', 'Filip Nola', 'Bumper Robinson', 'Ann Sorum', 'George Davis', 'Tom Mooney', 'Mark Bocchetti', 'Lucia Srncova', 'Daniel Margolius', 'Robert Franko', 'Lukás Hoffmann', 'Jared Chandler']","Behind Enemy Lines: Directed by John Moore. With Owen Wilson, Gene Hackman, Gabriel Macht, Charles Malik Whitfield. A disillusioned pilot shot down over war-torn Bosnia goes on the run from the local military and an assassin, as his commanding officer risks all to save him.",106
Shooters (2001) ,2001,"Crime, Drama",6.7,,['Dan Reed'],"['Paul Attah', 'Ali Awad', 'Desmond Bayliss', 'Franny Bennett', 'Stephen Condon', 'Shakira Jones', 'Ricky Rowe', 'Christopher Scully', 'Cheryl Varley', 'John Wayland']","Shooters: Directed by Dan Reed. With Paul Attah, Ali Awad, Desmond Bayliss, Franny Bennett. In this docudrama, non-professionals with criminal backgrounds re-enact ad-libbed scenes of life in Liverpool's underworld.",
Drop Dead Roses (2001) ,2001,"Comedy, Romance",5.3,R,['Jessica Hudson'],"[""Brian O'Halloran"", 'Eddie McGee', 'Diana Devlin', 'Barbi Castelvi', 'Chris Diamantopoulos', 'Ben Bain', 'James Ireland', 'Michael Lysyj', 'Al MacFarlane', 'Paul McGuire', 'Tracey Ogonoski', 'Jonathan Sommer', 'Samantha Spencely', 'Bill Uniac', 'Keith Wootten', 'Jimmy Martins']","Drop Dead Roses: Directed by Jessica Hudson. With Brian O'Halloran, Eddie McGee, Diana Devlin, Barbi Castelvi. Shawn and Jason are two regular guys who run an irregular business...",93
Deham (2001) ,2001,"Sci-Fi, Drama",4.6,A,['Govind Nihalani'],"['Kitu Gidwani', 'Joy Sengupta', 'Alyy Khan', 'Surekha Sikri', 'Julie Ames']","Deham: Directed by Govind Nihalani. With Kitu Gidwani, Joy Sengupta, Alyy Khan, Surekha Sikri. A jobless married man falls for a multinational company's offer to provide his family a life of luxury for the rest of their lives in exchange for body organs",
